trial,start_time,rt,correct,fact_id,question,answer,alpha
1,98082.52720000746,6895.509399997536,True,127,mg.png,madagascar,0.3
2,112721.78399999393,5141.596100002062,True,127,mg.png,madagascar,0.3
3,124199.75980000163,3159.665099999984,True,1,ae.png,united arab emirates,0.3
4,140456.62060000177,1791.3881999993464,True,1,ae.png,united arab emirates,0.3
5,161102.82139999617,2305.8399000001373,True,159,pt.png,portugal,0.3
6,168972.97220000473,2326.02589999442,True,127,mg.png,madagascar,0.288671875
7,177523.2690999983,1557.3986999952467,True,159,pt.png,portugal,0.3
8,184597.62270000647,2636.3118999870494,True,11,aw.png,aruba,0.3
9,192799.99349999707,5394.877300001099,True,1,ae.png,united arab emirates,0.349609375
10,209730.10800000338,2071.3108999916585,True,11,aw.png,aruba,0.3
11,216533.65060000215,1693.9856999961194,True,64,ga.png,gabon,0.3
12,223343.80489999603,1548.701699997764,True,196,tw.png,taiwan,0.3
13,229990.68909999914,4901.614999995218,True,64,ga.png,gabon,0.3
14,240210.97010000085,12237.061499996344,False,196,tw.png,taiwan,0.3
15,254690.1865999971,1719.679300003918,True,159,pt.png,portugal,0.250390625
16,261641.14779999363,1985.4706000041915,True,1,ae.png,united arab emirates,0.30000000000000004
17,273139.07580000523,1966.3741999975173,True,11,aw.png,aruba,0.250390625
18,279175.06959999446,2957.5253000075463,True,64,ga.png,gabon,0.349609375
19,286077.5772000052,inf,True,104,kh.png,cambodia,0.3
20,299103.12729999714,4451.123400009237,True,196,tw.png,taiwan,0.349609375
21,309592.0699999988,1731.8800000066403,True,104,kh.png,cambodia,0.3
22,317135.95900000655,10118.56619999162,False,127,mg.png,madagascar,0.33828125
23,337320.12420000683,5533.094099999289,True,64,ga.png,gabon,0.39921874999999996
24,346790.4658000043,1847.7416999958223,True,196,tw.png,taiwan,0.34921875
25,353415.26819999854,1655.8838000055403,True,0,ad.png,andorra,0.3
26,360412.32319999835,1562.1740000060527,True,42,cu.png,cuba,0.3
27,366452.9925999959,7204.717300002812,True,0,ad.png,andorra,0.3
28,378229.2417999997,2448.782499996014,True,42,cu.png,cuba,0.3
29,385795.8085999999,inf,True,64,ga.png,gabon,0.4488281249999999
30,405257.99680000637,2450.0380999961635,True,104,kh.png,cambodia,0.262109375
31,413115.8587999962,9353.736500008381,True,64,ga.png,gabon,0.47343749999999996
32,427763.2486000075,8050.1004999969155,True,127,mg.png,madagascar,0.3824218749999999
33,442238.99650000385,3707.566199998837,True,0,ad.png,andorra,0.349609375
34,450906.5849000035,3555.705199993099,True,64,ga.png,gabon,0.48554687499999993
35,458698.4553000075,1566.60269999702,True,42,cu.png,cuba,0.250390625
36,464909.7807000071,9127.048799986369,True,196,tw.png,taiwan,0.398828125
37,478937.72299999546,3184.0654000116047,True,127,mg.png,madagascar,0.4039062499999999
38,487552.2878000047,2381.184999991092,True,64,ga.png,gabon,0.48515624999999996
39,494638.98200000403,1442.9347999976017,True,0,ad.png,andorra,0.34921875
40,500771.50560000155,8612.947400004487,True,196,tw.png,taiwan,0.42656249999999996
41,513814.18570000096,2856.385399994906,True,1,ae.png,united arab emirates,0.32304687500000007
42,526753.4996000031,1836.931400001049,True,64,ga.png,gabon,0.484765625
43,532477.323500003,3832.1532999980263,True,127,mg.png,madagascar,0.40507812499999996
44,541853.737700003,3318.983199991635,True,196,tw.png,taiwan,0.427734375
45,549765.0376999954,1901.3042000005953,True,22,bn.png,brunei,0.3
46,556819.5118000003,2233.795000007376,True,131,mn.png,mongolia,0.3
47,564882.4557000044,6715.001999997185,False,22,bn.png,brunei,0.3
48,573836.6003999981,4921.128600006341,True,131,mn.png,mongolia,0.3
49,584863.1354999961,4599.834500011639,True,64,ga.png,gabon,0.534375
50,593676.2371000077,5609.702399990056,True,0,ad.png,andorra,0.387109375
51,604420.5368999974,1554.4499999959953,True,64,ga.png,gabon,0.4847656250000001
52,610040.0662000029,1809.1654000018025,True,196,tw.png,taiwan,0.42734375
53,616274.1360999935,2172.5563000072725,True,127,mg.png,madagascar,0.4046875
54,623653.6338000005,1911.9958999945084,True,22,bn.png,brunei,0.250390625
55,631653.8284999988,1926.101799996104,True,131,mn.png,mongolia,0.250390625
56,639388.3350999968,4801.144400000339,True,159,pt.png,portugal,0.29999999999999993
57,649859.6345999977,4903.027300009853,True,0,ad.png,andorra,0.43671874999999993
58,659529.6488000022,2256.4545999921393,True,11,aw.png,aruba,0.22499999999999998
59,665860.2023999993,2282.559200000833,True,1,ae.png,united arab emirates,0.3109375000000001
60,679100.1927000034,3374.3169999943348,True,0,ad.png,andorra,0.4371093749999999
61,687299.1583999974,3573.3668000029866,True,64,ga.png,gabon,0.48515625000000007
62,694695.6236999977,9982.80589999922,True,196,tw.png,taiwan,0.476953125
63,709616.0995999962,5701.123400009237,True,104,kh.png,cambodia,0.275
64,723977.0244999963,2947.7770000085,True,196,tw.png,taiwan,0.5015625
65,731812.691900006,2176.889999987907,True,127,mg.png,madagascar,0.404296875
66,739693.2701000042,1525.965199994971,True,0,ad.png,andorra,0.43671874999999993
67,745892.8115000017,4266.566000005696,True,196,tw.png,taiwan,0.512890625
68,754415.4810000036,1718.5407999932067,True,159,pt.png,portugal,0.250390625
69,761551.6289999941,2872.801800011075,True,64,ga.png,gabon,0.5136718750000001
70,768862.5305000023,2356.57980000542,True,202,uz.png,uzbekistan,0.3
71,779466.3234000036,1678.4800000023097,True,196,tw.png,taiwan,0.5125000000000001
72,785542.3584999953,2083.9900999999372,True,202,uz.png,uzbekistan,0.3
