trial,start_time,rt,correct,fact_id,question,answer,alpha
1,7530.867599998601,4710.311699949671,True,95,is.png,iceland,0.3
2,17936.945299967192,1786.1923000309616,True,95,is.png,iceland,0.3
3,23159.564699977636,1450.97020000685,True,58,fi.png,finland,0.3
4,27907.736899971496,1204.7808999777772,True,58,fi.png,finland,0.3
5,32440.043599985074,1455.7022000080906,True,85,hr.png,croatia,0.3
6,39632.133599952795,2019.014600024093,True,183,sz.png,eswatini,0.3
7,50520.605899975635,1246.5603000018746,True,85,hr.png,croatia,0.3
8,56628.67149995873,1075.5648000049405,True,183,sz.png,eswatini,0.3
9,61677.042399998754,5588.941299996804,False,153,pg.png,papua new guinea,0.3
10,69570.71209995775,1624.1708000306971,True,95,is.png,iceland,0.250390625
11,74618.62659995677,982.6153999892995,False,153,pg.png,papua new guinea,0.3
12,83776.84720000252,4397.369899961632,True,58,fi.png,finland,0.349609375
13,91412.36580000259,2135.792599990964,True,177,so.png,somalia,0.3
14,97771.8118999619,1666.2798000033945,True,113,lc.png,saint lucia,0.3
15,106356.65019997396,2843.602099979762,True,177,so.png,somalia,0.3
16,113853.84269995848,1454.9007000168785,True,113,lc.png,saint lucia,0.3
17,121211.6709999973,976.8385999486782,True,85,hr.png,croatia,0.250390625
18,125943.72749998001,14219.828100001905,False,183,sz.png,eswatini,0.349609375
19,142461.528899963,1204.6585000352934,True,58,fi.png,finland,0.30000000000000004
20,146931.53000000166,1304.130099946633,False,153,pg.png,papua new guinea,0.349609375
21,158945.2066999511,3209.5021000131965,True,177,so.png,somalia,0.349609375
22,168380.12009998783,1900.6948999594897,True,113,lc.png,saint lucia,0.250390625
23,175990.8172999858,1248.0977000086568,True,183,sz.png,eswatini,0.30000000000000004
24,181519.37539997743,1774.748699972406,True,19,bi.png,burundi,0.3
25,188455.4454999743,1505.0042999791913,True,153,pg.png,papua new guinea,0.34921875
26,197460.10430000024,1173.042299982626,True,19,bi.png,burundi,0.3
27,202336.1237999634,1687.9022000357509,True,177,so.png,somalia,0.34687500000000004
28,208009.28659999045,7818.222699977923,True,187,tj.png,tajikistan,0.3
29,222232.9889999819,2194.6209999732673,True,25,bt.png,bhutan,0.3
30,228880.42509998195,2637.7512000035495,True,187,tj.png,tajikistan,0.3
31,241358.1245999667,2188.695600023493,False,25,bt.png,bhutan,0.3
32,247008.64319998072,1776.2417999911122,True,3,al.png,albania,0.3
33,252860.82269996405,1956.819600018207,True,19,bi.png,burundi,0.250390625
34,259403.83949998068,4969.901799981017,False,3,al.png,albania,0.3
35,266670.8949999884,1818.6901999870315,True,139,my.png,malaysia,0.3
36,274212.7017999883,1554.438199964352,True,126,mg.png,madagascar,0.3
37,281801.2818999705,1633.6195000330918,True,139,my.png,malaysia,0.3
38,287970.38659994723,8286.646500055213,False,126,mg.png,madagascar,0.3
39,298552.5866999524,2067.899900022894,False,187,tj.png,tajikistan,0.349609375
40,308988.56420000084,2351.1927999788895,True,153,pg.png,papua new guinea,0.326171875
41,325126.14469998516,1361.4401000086218,True,25,bt.png,bhutan,0.250390625
42,331691.5534999571,1321.4047999936156,False,3,al.png,albania,0.349609375
43,336692.223799997,1341.9552999548614,True,177,so.png,somalia,0.2972656250000001
44,342140.9372999915,999.6741999639198,True,139,my.png,malaysia,0.250390625
45,347342.98560000025,5230.030199978501,False,126,mg.png,madagascar,0.349609375
46,357954.590999987,1932.8280999907292,False,187,tj.png,tajikistan,0.3984375
47,365204.3339999509,1211.6964000160806,True,58,fi.png,finland,0.2503906250000001
48,370242.67399997916,1084.2539999866858,True,3,al.png,albania,0.34921875
49,375279.075599974,2655.7642000261694,True,75,gl.png,greenland,0.3
50,385213.0600999808,1745.5324999755248,True,187,tj.png,tajikistan,0.398046875
51,393766.63859997643,1523.2681999914348,True,75,gl.png,greenland,0.3
52,400427.22529999446,2215.0523999589495,True,126,mg.png,madagascar,0.34921875
53,407732.6622999972,1538.3581999922171,True,95,is.png,iceland,0.20078125
54,412631.2427999801,1516.6640999959782,True,186,th.png,thailand,0.3
55,419193.4958999627,1785.6455000001006,True,44,cz.png,czechia,0.3
56,427379.98729996616,1130.5085000349209,True,186,th.png,thailand,0.3
57,432044.07409997657,2128.08330002008,True,44,cz.png,czechia,0.3
58,441204.63069999823,1365.6468999688514,True,183,sz.png,eswatini,0.2503906250000001
59,446713.4480999666,1224.4618000113405,True,75,gl.png,greenland,0.250390625
60,452621.77639995934,5033.939499990083,True,187,tj.png,tajikistan,0.3984375
61,463184.1761999531,1020.9055000450462,True,3,al.png,albania,0.29960937500000007
62,468505.9697999968,1545.9283999516629,True,10,aw.png,aruba,0.3
63,475416.7156999465,1588.7772000278346,True,129,mm.png,myanmar,0.3
64,485361.31249996834,1360.6205999967642,True,10,aw.png,aruba,0.3
65,490960.19559999695,2048.783599981107,True,129,mm.png,myanmar,0.3
66,497561.59459997434,1321.4231000165455,True,186,th.png,thailand,0.250390625
67,502533.5032999865,3807.4795000138693,True,44,cz.png,czechia,0.349609375
68,510621.7249999754,2396.7159999883734,True,126,mg.png,madagascar,0.33710937500000004
69,520046.6666999855,1053.6121999612078,True,85,hr.png,croatia,0.20078125
70,524994.8040999589,2089.9447000119835,True,153,pg.png,papua new guinea,0.32421875
71,535711.8837999878,1645.5034000100568,True,113,lc.png,saint lucia,0.20078125
72,542504.1311999667,1129.2013000347652,True,10,aw.png,aruba,0.250390625
73,548679.6657999512,1348.0060000438243,True,44,cz.png,czechia,0.30000000000000004
74,553925.5331999739,1120.9345000097528,True,129,mm.png,myanmar,0.250390625
75,559936.1369999824,1532.5617999769747,True,187,tj.png,tajikistan,0.398046875
76,569465.2738999575,1335.7222999911755,True,197,ua.png,ukraine,0.3
77,580001.6182999825,1493.0890999967232,True,55,er.png,eritrea,0.3
78,588487.0567999897,1482.8647999675013,True,197,ua.png,ukraine,0.3
79,594098.5108999885,9776.463899994269,False,55,er.png,eritrea,0.3
80,606192.2311999951,3610.4688000050373,True,19,bi.png,burundi,0.29999999999999993
81,614654.2305999901,1922.7637999574654,True,116,lr.png,liberia,0.3
82,624119.0009999555,1514.1255999915302,True,63,ga.png,gabon,0.3
83,632491.1828999757,2051.84879997978,True,116,lr.png,liberia,0.3
84,639159.9713999894,2019.127000006847,True,63,ga.png,gabon,0.3
85,644991.150399961,1263.8167000259273,True,197,ua.png,ukraine,0.250390625
86,650113.4760999703,4512.914200022351,True,55,er.png,eritrea,0.349609375
87,659788.5087999748,2011.120499984827,True,187,tj.png,tajikistan,0.35468750000000004
88,667921.9761999557,1450.7000000448897,True,17,bg.png,bulgaria,0.3
89,675187.4489999609,1769.2053000209853,True,126,mg.png,madagascar,0.3304687500000001
90,683116.0710999975,3501.4737999881618,False,17,bg.png,bulgaria,0.3
91,688910.1048999582,1182.2558999992907,True,116,lr.png,liberia,0.250390625
92,693986.6423999774,1694.5628999965265,True,63,ga.png,gabon,0.250390625
93,699574.8304000008,1968.8583999522962,True,55,er.png,eritrea,0.34921875
94,705990.9934999887,6628.551699977834,False,139,my.png,malaysia,0.29999999999999993
95,714911.6535999929,1105.7959999889135,True,19,bi.png,burundi,0.250390625
96,720885.3358999477,1337.455500033684,True,25,bt.png,bhutan,0.20078125
97,726169.5102999802,1481.6417999682017,True,177,so.png,somalia,0.25312500000000016
98,731170.519199979,1768.295100016985,True,137,mw.png,malawi,0.3
99,738662.2050000005,inf,True,17,bg.png,bulgaria,0.349609375
100,772618.3840999729,6059.855800005607,False,137,mw.png,malawi,0.3
101,780960.7159000007,1236.5521999890916,True,17,bg.png,bulgaria,0.34921875
102,785865.5071999528,1161.0510000027716,True,153,pg.png,papua new guinea,0.289453125
103,793131.2534000026,4589.972499990836,True,55,er.png,eritrea,0.398828125
104,802590.2656999533,1426.431700005196,True,44,cz.png,czechia,0.2503906250000001
105,808083.7723999866,978.6789999925531,True,139,my.png,malaysia,0.250390625
106,812817.1244999976,1172.3613999783993,True,75,gl.png,greenland,0.20078125
107,817668.5069999658,1806.7981000058353,True,132,mq.png,martinique,0.3
108,827346.2458999711,2486.4445999846794,False,137,mw.png,malawi,0.337890625
109,833936.6390999639,5602.8387999976985,False,132,mq.png,martinique,0.3
110,841838.4555999655,2618.0051999981515,True,55,er.png,eritrea,0.41875000000000007
111,848795.7990999566,1153.8316000369377,True,186,th.png,thailand,0.20078125
112,854588.809799985,1252.3117999662645,True,3,al.png,albania,0.2500000000000001
113,859302.5514999754,1738.9170000096783,True,151,pa.png,panama,0.3
114,865286.4737999626,1258.704799984116,True,172,si.png,slovenia,0.3
115,872355.4712999612,5238.083000003826,True,151,pa.png,panama,0.3
116,881210.3648999473,2721.2472000392154,True,172,si.png,slovenia,0.3
117,889611.8788999738,1202.74530001916,True,17,bg.png,bulgaria,0.29960937500000007
118,894437.8530999529,3004.8358000349253,False,132,mq.png,martinique,0.349609375
119,906299.06629998,1290.3199999709614,False,55,er.png,eritrea,0.41914062500000004
120,911360.7793999836,4617.678700014949,False,137,mw.png,malawi,0.38749999999999996
121,926483.1287999987,1446.7925999779254,True,10,aw.png,aruba,0.20078125
122,931568.3021000004,1424.4055000017397,True,151,pa.png,panama,0.250390625
123,936364.0106999665,3082.044299982954,True,129,mm.png,myanmar,0.275
124,944267.1364999842,1320.963700010907,True,172,si.png,slovenia,0.250390625
125,949629.9552999553,1653.12160004396,True,132,mq.png,martinique,0.34921875
126,956075.2594999503,1610.0083000492305,False,137,mw.png,malawi,0.416015625
127,962309.7593999701,2627.4153999984264,True,126,mg.png,madagascar,0.3324218750000001
128,970852.7297999826,2457.3119999840856,True,55,er.png,eritrea,0.421875
129,977544.891699974,1644.723100005649,True,71,gf.png,french guiana,0.3
130,994686.0993999871,2132.334199966863,True,137,mw.png,malawi,0.415625
131,1010740.833399992,1850.2550999983214,True,71,gf.png,french guiana,0.3
132,1019895.0141999521,1178.3916000276804,True,197,ua.png,ukraine,0.20078125
133,1026098.9778999938,1719.4646999705583,True,187,tj.png,tajikistan,0.3167968750000001
134,1034020.5929999938,2457.4650999857113,True,63,ga.png,gabon,0.20078125
135,1042682.4158999952,3758.531600004062,True,132,mq.png,martinique,0.398828125
136,1051735.6185999815,1097.2864999785088,False,116,lr.png,liberia,0.29999999999999993
137,1057817.7229999565,3794.4264000398107,True,55,er.png,eritrea,0.443359375
138,1065404.3768999982,1668.649800005369,True,137,mw.png,malawi,0.41523437500000004
139,1070619.0161999548,1913.1430000416003,True,71,gf.png,french guiana,0.250390625
140,1079385.6023999979,1544.650099996943,True,132,mq.png,martinique,0.3984375
141,1086469.9138999567,1424.371900036931,True,149,nz.png,new zealand,0.3
142,1095546.5982999885,1365.2476000133902,True,54,eh.png,western sahara,0.3
143,1106139.3513999647,1477.0825000014156,True,149,nz.png,new zealand,0.3
144,1112060.9521999722,1923.208500025794,True,54,eh.png,western sahara,0.3
145,1121042.0846999623,1136.3377000088803,True,55,er.png,eritrea,0.421875
146,1126356.5556999529,inf,True,156,pl.png,poland,0.3
147,1139180.1386000006,1186.792099964805,True,138,mx.png,mexico,0.3
148,1145788.3498999872,945.9620999987237,True,156,pl.png,poland,0.3
149,1149995.665399998,1289.4894999917597,True,138,mx.png,mexico,0.3
150,1154898.3009999502,1200.893500004895,True,137,mw.png,malawi,0.390625
151,1164123.7828999874,1311.7073999601416,True,149,nz.png,new zealand,0.250390625
152,1172463.1776000024,2026.7133999732323,True,132,mq.png,martinique,0.349609375
153,1179757.7073999564,5796.977600024547,True,54,eh.png,western sahara,0.349609375
